CatNum,DateNum,TimeNum,DescNum,DayNum,DistNum,ResNum,AddNum,X,Y
30,3,16,8,1,4,2,767,-122.3931234,37.75765082
26,3,16,3,1,4,2,767,-122.3931234,37.75765082
4,1,358,74,3,3,2,162,-122.4583428,37.72977527
18,5,566,1,6,10,1,1072,-122.3931859,37.79323041
29,1,358,5,3,5,2,163,-122.5058834,37.77436883
17,1,356,20,3,9,2,164,-122.4146345,37.75252762
14,1,349,21,3,7,2,165,-122.4607094,37.7249317
18,5,566,21,6,10,1,1072,-122.3931859,37.79323041
14,6,328,75,5,10,2,238,-122.3933265,37.79187362
28,6,328,76,5,10,2,238,-122.3933265,37.79187362
18,2,98,18,2,10,1,489,-122.3936227,37.78307912
18,3,103,76,1,10,1,749,-122.3936227,37.78307912
18,6,17,34,5,10,1,1425,-122.3938595,37.77797707
18,6,2,50,5,10,1,1425,-122.3938595,37.77797707
28,1,341,18,3,3,2,169,-122.4242765,37.727293
14,2,231,9,2,4,2,447,-122.3938703,37.72664013
27,1,341,52,3,6,1,171,-122.3997397,37.79503259
14,6,358,77,5,4,2,447,-122.3938703,37.72664013
18,5,523,3,6,10,1,1089,-122.3943045,37.78009053
30,5,523,3,6,10,1,1089,-122.3943045,37.78009053
14,1,341,39,3,1,2,172,-122.4318638,37.78620867
4,1,341,78,3,3,2,173,-122.4450699,37.7337501
29,1,341,5,3,3,2,174,-122.4230713,37.73854905
4,1,341,79,3,7,2,175,-122.4845457,37.73511269
14,7,536,80,4,10,2,1502,-122.3943045,37.78009053
17,2,487,81,2,10,2,345,-122.3949859,37.77709095
14,7,325,24,4,10,2,1574,-122.3949859,37.77709095
18,5,433,2,6,10,1,1125,-122.3950676,37.78070181
18,5,433,1,6,10,1,1125,-122.3950676,37.78070181
14,1,323,3,3,6,2,179,-122.4179701,37.80220232
17,7,636,3,4,10,2,1125,-122.3950676,37.78070181
2,2,399,8,2,4,2,385,-122.3951069,37.75663058
30,1,316,1,3,1,1,181,-122.417982,37.78128537
30,2,399,45,2,4,2,385,-122.3951069,37.75663058
2,2,399,2,2,4,2,385,-122.3951069,37.75663058
26,2,399,76,2,4,2,385,-122.3951069,37.75663058
18,1,330,82,3,10,1,178,-122.3951632,37.7843097
20,1,312,83,3,1,2,183,-122.4342252,37.79116853
18,2,446,4,2,10,1,364,-122.3951632,37.7843097
26,8,501,84,3,10,2,1716,-122.3956486,37.78637855
4,1,305,79,3,3,2,184,-122.4448541,37.73449811
2,1,305,50,3,10,2,185,-122.3995453,37.78812918
16,8,501,85,3,10,2,1716,-122.3956486,37.78637855
26,7,214,2,4,10,2,129,-122.3956581,37.79249618
26,1,296,69,3,5,2,187,-122.4868783,37.77999237
17,1,293,20,3,1,2,188,-122.4230767,37.77735026
18,7,214,30,4,10,2,129,-122.3956581,37.79249618
30,1,289,1,3,7,2,190,-122.477696,37.76359154
20,1,413,86,3,10,2,129,-122.3957716,37.79243096
29,1,223,49,3,10,2,129,-122.3957716,37.79243096
14,1,520,15,3,10,2,59,-122.395986,37.77883482
14,1,512,87,3,10,2,59,-122.395986,37.77883482
14,7,373,66,4,10,2,59,-122.395986,37.77883482
17,1,289,88,3,7,2,193,-122.4756555,37.76541405
17,1,284,9,3,4,2,194,-122.3974262,37.76844016
18,7,305,89,4,10,2,59,-122.395986,37.77883482
18,4,56,11,7,4,1,993,-122.3960102,37.74726229
2,4,56,90,7,4,1,993,-122.3960102,37.74726229
2,4,56,51,7,4,1,993,-122.3960102,37.74726229
17,1,385,69,3,4,2,145,-122.3962703,37.7504525
2,1,385,5,3,4,2,145,-122.3962703,37.7504525
14,1,505,15,3,10,2,66,-122.3964115,37.77918761
28,1,277,18,3,3,2,199,-122.4205298,37.71100233
29,3,460,60,1,10,2,66,-122.3964115,37.77918761
17,1,266,9,3,2,2,201,-122.4364041,37.77225454
26,1,263,91,3,10,2,83,-122.4090112,37.78113406
14,1,263,92,3,1,2,202,-122.4173673,37.78286262
20,7,600,93,4,4,2,1468,-122.3965338,37.76192361
14,1,260,39,3,6,2,204,-122.4120043,37.80148647
30,1,249,35,3,3,1,205,-122.4362669,37.74277156
14,1,249,6,3,1,2,206,-122.4192748,37.78356805
26,1,232,69,3,7,2,207,-122.4871859,37.75281498
16,1,232,93,3,6,2,208,-122.4145769,37.78947681
14,7,600,3,4,4,2,1468,-122.3965338,37.76192361
28,3,579,6,1,10,2,547,-122.3967072,37.78554295
14,1,227,39,3,6,2,210,-122.4137051,37.78906405
20,5,648,25,6,10,2,1031,-122.3967072,37.78554295
26,1,217,69,3,1,2,211,-122.418382,37.78325838
2,1,214,77,3,6,2,212,-122.4202227,37.7989965
14,5,249,84,6,10,2,1177,-122.3967085,37.79787289
17,1,214,9,3,5,2,214,-122.4848733,37.78202318
28,5,249,66,6,10,2,1177,-122.3967085,37.79787289
14,5,249,54,6,10,2,1177,-122.3967085,37.79787289
17,3,289,1,1,6,2,674,-122.3967737,37.79546641
14,8,586,3,3,6,2,674,-122.3967737,37.79546641
14,4,246,77,7,4,2,942,-122.3967755,37.76447399
28,4,246,65,7,4,2,942,-122.3967755,37.76447399
14,1,201,3,3,3,2,218,-122.4228657,37.73947657
31,2,648,93,2,4,2,280,-122.3972019,37.75353512
2,2,467,94,2,4,2,356,-122.3972019,37.75353512
2,2,406,40,2,4,1,356,-122.3972019,37.75353512
2,2,34,30,2,4,2,356,-122.3972019,37.75353512
23,8,589,45,3,4,7,280,-122.3972019,37.75353512
21,1,186,95,3,3,2,221,-122.449675,37.70976253
14,1,186,3,3,1,2,222,-122.4254163,37.77662802
23,8,589,96,3,4,7,280,-122.3972019,37.75353512
17,8,589,46,3,4,7,280,-122.3972019,37.75353512
29,1,186,25,3,10,2,224,-122.3953087,37.77929702
14,1,186,3,3,2,2,225,-122.4387417,37.77965932
29,1,184,25,3,7,2,226,-122.4677968,37.75554147
18,1,177,59,3,6,2,227,-122.4161992,37.78915877
18,1,174,12,3,1,1,228,-122.4234131,37.79573711
17,1,173,15,3,1,2,229,-122.4210119,37.78382269
18,1,168,97,3,6,2,230,-122.4132889,37.79146553
14,6,495,2,5,10,2,1303,-122.3975764,37.78976193
14,7,416,6,4,10,2,1303,-122.3975764,37.78976193
14,2,543,79,2,10,2,47,-122.3977132,37.77746967
16,1,162,61,3,2,2,234,-122.4380984,37.78063886
14,5,480,98,6,10,2,47,-122.3977132,37.77746967
14,7,162,77,4,10,2,47,-122.3977132,37.77746967
14,1,162,6,3,4,2,236,-122.4045994,37.74211889
14,8,396,77,3,10,2,47,-122.3977132,37.77746967
2,8,232,81,3,10,2,47,-122.3977132,37.77746967
14,1,159,99,3,10,2,238,-122.3932283,37.79195104
17,1,157,20,3,2,2,239,-122.4448468,37.7683459
14,1,154,3,3,6,2,240,-122.4065029,37.80126532
29,1,151,5,3,10,2,241,-122.4097748,37.77644368
22,8,232,37,3,10,2,47,-122.3977132,37.77746967
20,1,145,90,3,4,2,243,-122.4060923,37.73234832
17,1,141,9,3,5,2,244,-122.4621386,37.7801273
14,1,141,3,3,9,2,245,-122.4063276,37.76849835
4,1,141,40,3,5,2,246,-122.5086318,37.77606949
4,1,136,70,3,10,2,247,-122.407389,37.77561063
14,1,134,100,3,5,2,248,-122.4554684,37.78621097
17,1,605,1,3,4,2,13,-122.3977444,37.72993469
29,1,129,5,3,9,2,250,-122.4053225,37.75369252
16,3,277,101,1,4,2,13,-122.3977444,37.72993469
16,3,277,102,1,4,2,13,-122.3977444,37.72993469
19,3,277,81,1,4,2,13,-122.3977444,37.72993469
30,8,640,46,3,4,1,13,-122.3977444,37.72993469
17,8,436,103,3,4,6,13,-122.3977444,37.72993469
22,2,88,104,2,4,1,491,-122.3980042,37.71903318
2,2,88,16,2,4,1,491,-122.3980042,37.71903318
2,6,579,8,5,4,2,491,-122.3980042,37.71903318
28,7,543,64,4,4,2,491,-122.3980042,37.71903318
18,7,543,49,4,4,2,491,-122.3980042,37.71903318
14,1,116,6,3,8,2,255,-122.4122242,37.78207293
14,2,495,82,2,10,2,342,-122.3980634,37.77956585
14,4,530,105,7,10,2,825,-122.3980634,37.77956585
18,2,214,106,2,6,2,456,-122.3981953,37.79337819
18,3,418,50,1,6,2,456,-122.3981953,37.79337819
14,2,373,107,2,10,2,396,-122.3982667,37.79171485
14,6,512,108,5,6,2,1295,-122.3982667,37.79171485
11,6,1,13,5,4,2,1432,-122.3983176,37.72650235
11,6,1,109,5,4,2,1432,-122.3983176,37.72650235
18,4,415,8,7,4,1,882,-122.3983648,37.73719328
14,1,102,4,3,7,2,258,-122.45121,37.71957244
31,4,415,20,7,4,1,882,-122.3983648,37.73719328
24,4,415,20,7,4,1,882,-122.3983648,37.73719328
14,3,176,110,1,6,2,726,-122.3983835,37.79430355
26,1,74,30,3,4,2,261,-122.3936272,37.7636628
27,3,176,27,1,6,2,726,-122.3983835,37.79430355
29,6,632,48,5,10,2,1248,-122.3985613,37.78205041
29,6,632,109,5,10,2,1248,-122.3985613,37.78205041
20,1,532,111,3,4,2,45,-122.3986956,37.7547456
2,1,532,15,3,4,2,45,-122.3986956,37.7547456
14,5,326,14,6,6,2,1152,-122.398862,37.800781
14,1,59,6,3,7,2,264,-122.4779603,37.74573894
29,1,59,5,3,7,2,265,-122.5063466,37.75105018
14,1,45,3,3,7,2,266,-122.4905619,37.74052225
18,1,37,12,3,3,1,267,-122.4336394,37.71475332
14,8,550,15,3,6,2,1693,-122.398862,37.800781
29,8,480,3,3,6,2,1693,-122.398862,37.800781
20,1,35,13,3,10,2,270,-122.4020277,37.78624835
17,6,500,112,5,6,1,1301,-122.3989727,37.79428282
17,7,309,2,4,6,2,1579,-122.3989727,37.79428282
30,1,25,1,3,3,1,272,-122.4187328,37.74749553
17,1,22,14,3,6,2,273,-122.4155357,37.78978741
18,1,546,24,3,4,1,39,-122.3994437,37.73017602
18,1,10,12,3,9,1,275,-122.423803,37.76156559
18,1,546,81,3,4,1,39,-122.3994437,37.73017602
18,7,364,113,4,6,1,1561,-122.3996445,37.80062821
26,1,1,69,3,8,2,277,-122.4118001,37.78408904
30,7,364,64,4,6,1,1561,-122.3996445,37.80062821
17,1,1,15,3,3,2,278,-122.4359772,37.72312883
18,2,651,24,2,2,1,279,-122.4389015,37.77199001
30,7,364,114,4,6,1,1561,-122.3996445,37.80062821
14,2,637,6,2,9,2,281,-122.419004,37.7635176
16,2,632,93,2,2,2,282,-122.4528398,37.77451454
14,6,206,15,5,10,2,717,-122.3996895,37.7868609
14,2,632,3,2,3,2,284,-122.4040427,37.71614902
20,2,624,115,2,7,2,285,-122.4574412,37.70984278
14,6,206,12,5,10,2,717,-122.3996895,37.7868609
18,2,623,24,2,7,1,287,-122.4765554,37.75610807
14,2,622,39,2,10,2,288,-122.3983743,37.7834196
14,2,620,3,2,9,2,232,-122.4276823,37.7683148
29,2,620,25,2,9,2,289,-122.4193907,37.7497537
14,5,512,89,6,10,2,1094,-122.3997246,37.78323518
30,5,512,116,6,10,2,1094,-122.3997246,37.78323518
17,3,524,117,1,10,2,577,-122.3998338,37.78104322
2,4,652,24,7,10,1,577,-122.3998338,37.78104322
2,4,652,3,7,10,1,577,-122.3998338,37.78104322
28,4,652,24,7,10,1,577,-122.3998338,37.78104322
17,2,113,24,2,10,2,485,-122.3999811,37.77762424
14,2,605,6,2,6,2,294,-122.402205,37.79796746
17,4,152,118,7,10,2,485,-122.3999811,37.77762424
14,6,480,119,5,10,2,485,-122.3999811,37.77762424
14,2,605,37,2,3,2,114,-122.4356218,37.72349132
14,2,605,3,2,5,2,295,-122.437597,37.78654859
14,2,605,6,2,3,2,296,-122.4498594,37.74135094
29,2,605,5,2,3,2,297,-122.4398114,37.71009648
18,2,605,120,2,7,2,298,-122.4666544,37.71422164
18,5,583,6,6,10,1,1055,-122.3999885,37.78548734
29,2,600,25,2,1,2,300,-122.4312033,37.76844569
14,2,597,26,2,10,2,301,-122.3928891,37.7935386
12,2,596,121,2,6,2,109,-122.4162808,37.80629468
27,2,592,52,2,5,2,302,-122.4653522,37.78191292
29,2,592,5,2,3,2,303,-122.4205263,37.74472547
14,2,592,3,2,9,2,304,-122.4222016,37.76814038
2,7,46,3,4,10,2,1055,-122.3999885,37.78548734
2,5,637,6,6,4,1,1033,-122.4001306,37.73009254
2,5,637,4,6,4,1,1033,-122.4001306,37.73009254
14,2,585,6,2,4,2,307,-122.403907,37.72820559
18,5,637,26,6,4,1,1033,-122.4001306,37.73009254
17,7,605,122,4,4,2,1033,-122.4001306,37.73009254
14,2,579,39,2,10,2,309,-122.3970342,37.79282365
2,2,579,77,2,3,2,310,-122.4208641,37.71219983
29,2,579,5,2,7,2,311,-122.5026049,37.744653
17,2,94,3,2,10,2,490,-122.4003024,37.77779923
29,2,579,5,2,7,2,312,-122.5047488,37.74455862
29,2,579,5,2,3,2,313,-122.4386424,37.72162637
29,2,579,5,2,9,2,314,-122.424845,37.74863252
17,2,71,3,2,10,2,490,-122.4003024,37.77779923
14,2,569,3,2,3,2,315,-122.4082621,37.74677964
28,4,632,123,7,10,2,788,-122.4004736,37.78502906
29,2,562,60,2,4,2,316,-122.3907317,37.75392407
4,2,562,84,2,9,2,317,-122.4352962,37.75207974
28,5,632,6,6,10,2,788,-122.4004736,37.78502906
18,2,562,12,2,4,1,319,-122.3905219,37.73754398
14,2,562,3,2,6,2,320,-122.4221994,37.80643511
29,1,529,77,3,6,2,53,-122.4007198,37.79071247
17,2,554,51,2,7,6,321,-122.4659228,37.75749235
14,2,550,3,2,1,2,322,-122.4237716,37.77683789
29,1,529,21,3,6,2,53,-122.4007198,37.79071247
18,3,173,4,1,4,1,730,-122.4007846,37.72361678
18,4,591,3,7,4,1,730,-122.4007846,37.72361678
29,2,543,5,2,3,2,325,-122.4325133,37.73775828
18,7,604,87,4,4,2,1466,-122.401336,37.72198845
26,7,604,20,4,4,2,1466,-122.401336,37.72198845
28,3,277,124,1,4,2,680,-122.4013545,37.75709746
14,3,277,125,1,4,2,680,-122.4013545,37.75709746
4,6,46,45,5,6,2,1420,-122.4014275,37.79419822
4,6,46,24,5,6,2,1420,-122.4014275,37.79419822
18,7,218,1,4,4,2,1608,-122.4016068,37.76418401
18,8,363,45,3,4,2,1608,-122.4016068,37.76418401
29,2,530,5,2,9,2,329,-122.4330813,37.75221241
14,2,589,3,2,6,2,306,-122.4017108,37.80036704
14,2,589,14,2,6,2,306,-122.4017108,37.80036704
14,2,530,3,2,1,2,330,-122.4345637,37.78415049
14,6,275,126,5,6,2,1367,-122.4020294,37.79191259
2,6,275,127,5,6,2,1367,-122.4020294,37.79191259
20,6,275,14,5,6,2,1367,-122.4020294,37.79191259
14,2,524,3,2,6,2,332,-122.4165145,37.80334672
4,1,366,81,3,10,2,156,-122.4023437,37.78116668
14,5,333,50,6,10,2,156,-122.4023437,37.78116668
29,2,512,5,2,9,2,333,-122.4156862,37.76361117
4,2,512,128,2,7,2,334,-122.5018015,37.74655645
4,2,512,84,2,9,2,335,-122.4191389,37.74857313
4,6,523,18,5,6,2,1290,-122.4024921,37.79750272
4,7,146,4,4,6,2,1290,-122.4024921,37.79750272
14,2,512,3,2,4,2,337,-122.4003915,37.76234644
14,2,495,6,2,6,2,338,-122.4026861,37.7984278
18,2,495,55,2,4,2,339,-122.3861007,37.73800201
17,2,495,15,2,2,2,340,-122.4375917,37.77455064
14,2,495,3,2,10,2,341,-122.4044079,37.78107596
4,7,102,3,4,6,1,1290,-122.4024921,37.79750272
18,1,22,129,3,10,1,274,-122.4025276,37.77603828
14,2,487,3,2,5,2,344,-122.4606582,37.77643393
14,4,376,15,7,10,2,895,-122.4025276,37.77603828
14,2,486,21,2,6,1,346,-122.4076129,37.7884486
12,4,376,87,7,10,2,895,-122.4025276,37.77603828
2,2,484,77,2,3,2,347,-122.4296149,37.7302697
18,6,480,48,5,10,2,895,-122.4025276,37.77603828
18,7,424,82,4,10,1,895,-122.4025276,37.77603828
2,7,424,72,4,10,1,895,-122.4025276,37.77603828
29,2,480,25,2,10,2,349,-122.4123497,37.77555585
28,2,480,18,2,2,2,350,-122.4421289,37.76425552
14,2,480,3,2,5,2,351,-122.4815165,37.78022271
23,7,424,3,4,10,1,895,-122.4025276,37.77603828
18,7,63,2,4,6,3,1644,-122.402574,37.79189814
18,7,39,20,4,6,3,1644,-122.402574,37.79189814
7,3,620,72,1,4,1,529,-122.4027012,37.73026636
18,3,620,104,1,4,1,529,-122.4027012,37.73026636
18,2,472,12,2,8,1,354,-122.4160753,37.78444966
2,3,620,1,1,4,1,529,-122.4027012,37.73026636
18,5,317,21,6,10,1,1155,-122.4028373,37.77096211
4,5,317,77,6,10,1,1155,-122.4028373,37.77096211
18,4,66,37,7,10,1,125,-122.4028491,37.77585996
20,2,463,130,2,2,2,358,-122.4456525,37.77596127
28,2,460,8,2,8,2,359,-122.4072224,37.78645626
