Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
5/13/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,2000 Block of BUSH ST,-122.4310176,37.78738807
5/13/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,500 Block of COLLEGE AV,-122.4236563,37.73255649
5/13/2015 21:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Wednesday,TARAVAL,NONE,19TH AV / SANTIAGO ST,-122.4757735,37.74491907
5/13/2015 20:56,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,TARAVAL,NONE,2000 Block of 41ST AV,-122.4997871,37.7485176
5/13/2015 20:54,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,1300 Block of WEBSTER ST,-122.4310464,37.78302957
5/13/2015 20:50,NON-CRIMINAL,"CIVIL SIDEWALKS, CITATION",Wednesday,MISSION,"ARREST, BOOKED",400 Block of CASTRO ST,-122.4351501,37.76175972
5/13/2015 20:45,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,NORTHERN,NONE,1500 Block of FILLMORE ST,-122.4327438,37.78384245
5/13/2015 20:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,1600 Block of WEBSTER ST,-122.4313095,37.78587063
5/13/2015 20:30,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,NORTHERN,NONE,1600 Block of WEBSTER ST,-122.4313095,37.78587063
5/13/2015 20:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,KING ST / 3RD ST,-122.3918456,37.77812478
5/13/2015 20:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,VALLEJO ST / BUCHANAN ST,-122.4318307,37.7956417
5/13/2015 20:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,CALIFORNIA ST / BUCHANAN ST,-122.4305518,37.78932277
5/13/2015 20:29,WEAPON LAWS,SUSPICIOUS PACKAGE,Wednesday,TARAVAL,NONE,1400 Block of HOLLOWAY AV,-122.473182,37.72156474
5/13/2015 20:25,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,INGLESIDE,NONE,0 Block of WINDING WY,-122.4324465,37.71083265
5/13/2015 20:23,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,SOUTHERN,NONE,700 Block of MARKET ST,-122.4052948,37.78630722
5/13/2015 20:15,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,1600 Block of MARKET ST,-122.4221276,37.77303302
5/13/2015 20:15,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,TENDERLOIN,NONE,0 Block of STOCKTON ST,-122.4063518,37.78603116
5/13/2015 20:06,OTHER OFFENSES,PROBATION VIOLATION,Wednesday,BAYVIEW,"ARREST, BOOKED",300 Block of WILLIAMS AV,-122.3994437,37.73017602
5/13/2015 20:06,OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED",Wednesday,BAYVIEW,"ARREST, BOOKED",300 Block of WILLIAMS AV,-122.3994437,37.73017602
5/13/2015 20:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,CENTRAL,"ARREST, CITED",800 Block of LEAVENWORTH ST,-122.415212,37.78887145
5/13/2015 20:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,INGLESIDE,NONE,0 Block of CRESCENT AV,-122.4237023,37.73523279
5/13/2015 20:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,TARAVAL,NONE,LINCOLN WY / 14TH AV,-122.4717998,37.7656867
5/13/2015 19:55,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,CENTRAL,NONE,SUTTER ST / POWELL ST,-122.4085974,37.78922421
5/13/2015 19:52,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Wednesday,PARK,"ARREST, BOOKED",1500 Block of HAIGHT ST,-122.4477611,37.76984649
5/13/2015 19:33,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Wednesday,BAYVIEW,NONE,23RD ST / WISCONSIN ST,-122.3986956,37.7547456
5/13/2015 19:33,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,BAYVIEW,NONE,23RD ST / WISCONSIN ST,-122.3986956,37.7547456
5/13/2015 19:30,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,SOUTHERN,NONE,0 Block of 3RD ST,-122.4032848,37.78730642
5/13/2015 19:30,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,SOUTHERN,NONE,500 Block of BRANNAN ST,-122.3976156,37.77739182
5/13/2015 19:30,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,SOUTHERN,NONE,OTIS ST / GOUGH ST,-122.4203472,37.77176907
5/13/2015 19:30,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,SOUTHERN,NONE,MISSION ST / 2ND ST,-122.3998021,37.78800653
5/13/2015 19:30,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,NORTHERN,NONE,GEARY ST / VANNESS AV,-122.4213958,37.78568434
5/13/2015 19:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,HARRISON ST / 10TH ST,-122.4112792,37.77157858
5/13/2015 19:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,GEARY BL / LAGUNA ST,-122.4279912,37.78495312
5/13/2015 19:28,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,CENTRAL,NONE,0 Block of SANSOME ST,-122.4007198,37.79071247
5/13/2015 19:28,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,CENTRAL,NONE,0 Block of SANSOME ST,-122.4007198,37.79071247
5/13/2015 19:26,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,CENTRAL,NONE,900 Block of BUSH ST,-122.412929,37.78968683
5/13/2015 19:26,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,CENTRAL,NONE,900 Block of BUSH ST,-122.412929,37.78968683
5/13/2015 19:19,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,SOUTHERN,NONE,0 Block of MARKET ST,-122.3950978,37.79405905
5/13/2015 19:15,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,300 Block of 10TH ST,-122.4116366,37.77178694
5/13/2015 19:15,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,TARAVAL,NONE,19TH AV / WINSTON DR,-122.4748992,37.72699053
5/13/2015 19:11,WARRANTS,ENROUTE TO PAROLE OFFICER,Wednesday,TENDERLOIN,NONE,400 Block of HYDE ST,-122.4162359,37.78491257
5/13/2015 19:11,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,TENDERLOIN,NONE,400 Block of HYDE ST,-122.4162359,37.78491257
5/13/2015 19:11,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,TENDERLOIN,NONE,400 Block of HYDE ST,-122.4162359,37.78491257
5/13/2015 19:11,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,400 Block of BRANNAN ST,-122.395986,37.77883482
5/13/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,400 Block of BRANNAN ST,-122.395986,37.77883482
5/13/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,2000 Block of SUTTER ST,-122.4341214,37.78603305
5/13/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,100 Block of PAUL AV,-122.3971362,37.72280498
5/13/2015 19:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,MISSION,NONE,26TH ST / GUERRERO ST,-122.4225723,37.74877401
5/13/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,STOCKTON ST / SUTTER ST,-122.4069587,37.78943476
5/13/2015 18:58,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,MISSION,NONE,1900 Block of MISSION ST,-122.4196766,37.7658511
5/13/2015 18:58,WARRANTS,WARRANT ARREST,Wednesday,MISSION,NONE,1900 Block of MISSION ST,-122.4196766,37.7658511
5/13/2015 18:55,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,PARK,PSYCHOPATHIC CASE,4600 Block of 18TH ST,-122.4424965,37.76048588
5/13/2015 18:45,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,0 Block of FREELON ST,-122.3964115,37.77918761
5/13/2015 18:45,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,MISSION,"ARREST, BOOKED",17TH ST / TREAT AV,-122.4135917,37.76382223
5/13/2015 18:45,NON-CRIMINAL,LOST PROPERTY,Wednesday,CENTRAL,NONE,PACIFIC AV / SANSOME ST,-122.4020426,37.79750489
5/13/2015 18:42,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,NORTHERN,NONE,1900 Block of POLK ST,-122.4214269,37.79460283
5/13/2015 18:42,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Wednesday,NORTHERN,NONE,1900 Block of POLK ST,-122.4214269,37.79460283
5/13/2015 18:39,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,TENDERLOIN,"ARREST, CITED",200 Block of GOLDEN GATE AV,-122.4142634,37.78175698
5/13/2015 18:30,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,INGLESIDE,"ARREST, BOOKED",3100 Block of HARRISON ST,-122.4115042,37.74778591
5/13/2015 18:30,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,PARK,NONE,1000 Block of SCOTT ST,-122.4369999,37.77916217
5/13/2015 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.5136421,37.77846922
5/13/2015 18:30,BURGLARY,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY",Wednesday,BAYVIEW,NONE,1300 Block of FELTON ST,-122.417938,37.72660514
5/13/2015 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,1500 Block of FILLMORE ST,-122.4327438,37.78384245
5/13/2015 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,PINE ST / GRANT AV,-122.4057448,37.79149808
5/13/2015 18:20,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,NORTHERN,NONE,600 Block of VANNESS AV,-122.4206914,37.78148325
5/13/2015 18:16,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,TENDERLOIN,NONE,400 Block of EDDY ST,-122.4150887,37.78367196
5/13/2015 18:15,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,WESTPORTAL AV / VICENTE ST,-122.4669911,37.73972316
5/13/2015 18:15,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,GREENWICH ST / LEAVENWORTH ST,-122.4178006,37.80126838
5/13/2015 18:10,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,CENTRAL,NONE,BAY ST / HYDE ST,-122.42018,37.80478965
5/13/2015 18:05,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,SAN BRUNO AV / BURROWS ST,-122.4040999,37.72883734
5/13/2015 18:02,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,MISSION,"ARREST, BOOKED",25TH ST / SHOTWELL ST,-122.4150147,37.75083639
5/13/2015 18:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,SOUTHERN,NONE,0 Block of 6TH ST,-122.4095043,37.78152627
5/13/2015 18:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,BAYVIEW,NONE,ILLINOIS ST / 20TH ST,-122.3875713,37.76054996
5/13/2015 18:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,CASTRO ST / 16TH ST,-122.4353184,37.76410203
5/13/2015 18:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,COLE ST / FULTON ST,-122.4513601,37.77517416
5/13/2015 18:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,LEAVENWORTH ST / BAY ST,-122.418534,37.80499774
5/13/2015 17:55,FORGERY/COUNTERFEITING,"FORGERY, NOTES",Wednesday,SOUTHERN,"ARREST, BOOKED",1200 Block of MARKET ST,-122.4154488,37.77829352
5/13/2015 17:55,FORGERY/COUNTERFEITING,"CHECKS, POSSESSION WITH INTENT TO PASS",Wednesday,SOUTHERN,"ARREST, BOOKED",1200 Block of MARKET ST,-122.4154488,37.77829352
5/13/2015 17:55,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Wednesday,SOUTHERN,"ARREST, BOOKED",1200 Block of MARKET ST,-122.4154488,37.77829352
5/13/2015 17:50,NON-CRIMINAL,FOUND PROPERTY,Wednesday,CENTRAL,NONE,400 Block of GREEN ST,-122.4070086,37.79969689
5/13/2015 17:48,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Wednesday,NORTHERN,NONE,0 Block of DANIELBURNHAM CT,-122.4225406,37.78690887
5/13/2015 17:47,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,BAYVIEW,NONE,0 Block of WHITFIELD CT,-122.3818379,37.73110435
5/13/2015 17:47,OTHER OFFENSES,RESISTING ARREST,Wednesday,BAYVIEW,NONE,0 Block of WHITFIELD CT,-122.3818379,37.73110435
5/13/2015 17:47,ASSAULT,CHILD ABUSE (PHYSICAL),Wednesday,BAYVIEW,NONE,0 Block of WHITFIELD CT,-122.3818379,37.73110435
5/13/2015 17:47,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Wednesday,BAYVIEW,NONE,0 Block of WHITFIELD CT,-122.3818379,37.73110435
5/13/2015 17:45,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,CENTRAL,"ARREST, BOOKED",700 Block of GEARY ST,-122.4156327,37.78635878
5/13/2015 17:45,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054
5/13/2015 17:45,OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED",Wednesday,CENTRAL,"ARREST, BOOKED",700 Block of GEARY ST,-122.4156327,37.78635878
5/13/2015 17:40,ASSAULT,THREATS AGAINST LIFE,Wednesday,CENTRAL,NONE,1400 Block of STOCKTON ST,-122.4090315,37.79925319
5/13/2015 17:40,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,SAN JOSE AV / 29TH ST,-122.4226722,37.74394327
5/13/2015 17:37,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,TENDERLOIN,NONE,EDDY ST / LEAVENWORTH ST,-122.414243,37.78372403
5/13/2015 17:37,WARRANTS,WARRANT ARREST,Wednesday,TENDERLOIN,NONE,EDDY ST / LEAVENWORTH ST,-122.414243,37.78372403
5/13/2015 17:35,NON-CRIMINAL,AIDED CASE,Wednesday,SOUTHERN,NONE,1300 Block of MISSION ST,-122.4156581,37.77539248
5/13/2015 17:30,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,MISSION,NONE,2300 Block of MISSION ST,-122.4190589,37.75942275
5/13/2015 17:30,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,INGLESIDE,"ARREST, CITED",CRESCENT AV / ANDOVER ST,-122.4168243,37.73488852
5/13/2015 17:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,11TH ST / HARRISON ST,-122.4124833,37.77063059
5/13/2015 17:28,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,MISSION,"ARREST, BOOKED",23RD ST / VERMONT ST,-122.4035248,37.75445344
5/13/2015 17:27,TRESPASS,TRESPASSING,Wednesday,TENDERLOIN,NONE,100 Block of EDDY ST,-122.4101352,37.78418891
5/13/2015 17:20,BURGLARY,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",Wednesday,CENTRAL,NONE,600 Block of JONES ST,-122.4132985,37.78705782
5/13/2015 17:12,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,SOUTHERN,"ARREST, BOOKED",6TH ST / NATOMA ST,-122.4076931,37.78016307
5/13/2015 17:07,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,NORTHERN,NONE,1100 Block of FILLMORE ST,-122.4319796,37.78004785
5/13/2015 17:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,INGLESIDE,NONE,500 Block of TOMPKINS AV,-122.4131567,37.73710675
5/13/2015 17:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Wednesday,INGLESIDE,NONE,0 Block of BROOK ST,-122.4234664,37.74072837
5/13/2015 17:00,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY",Wednesday,NORTHERN,NONE,500 Block of GROVE ST,-122.4256351,37.77743878
5/13/2015 17:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,500 Block of NORTHPOINT ST,-122.4162596,37.80618612
5/13/2015 17:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,400 Block of 39TH AV,-122.4997301,37.78035003
5/13/2015 17:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,TENDERLOIN,NONE,LEAVENWORTH ST / EDDY ST,-122.414243,37.78372403
5/13/2015 17:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,MISSION,NONE,16TH ST / SANCHEZ ST,-122.4308826,37.76437256
5/13/2015 17:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,TENDERLOIN,NONE,JONES ST / GEARY ST,-122.4131745,37.78671902
5/13/2015 16:50,ROBBERY,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ A KNIFE,Wednesday,INGLESIDE,NONE,4600 Block of MISSION ST,-122.4350413,37.72425605
5/13/2015 16:50,FORGERY/COUNTERFEITING,FORGERY & COUNTERFEITING (GENERAL),Wednesday,INGLESIDE,"ARREST, BOOKED",400 Block of CORTLAND AV,-122.4174505,37.73920707
5/13/2015 16:47,TRESPASS,TRESPASSING,Wednesday,NORTHERN,"ARREST, BOOKED",100 Block of STEINER ST,-122.4319275,37.77073153
5/13/2015 16:46,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054
5/13/2015 16:45,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,CENTRAL,NONE,CALIFORNIA ST / STOCKTON ST,-122.4075398,37.79224918
5/13/2015 16:44,WARRANTS,WARRANT ARREST,Wednesday,SOUTHERN,"ARREST, BOOKED",4TH ST / MARKET ST,-122.4058325,37.78574465
5/13/2015 16:42,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,2100 Block of FULTON ST,-122.4505559,37.77533518
5/13/2015 16:34,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,HAWTHORNE ST / HARRISON ST,-122.3962658,37.78344043
5/13/2015 16:32,WARRANTS,WARRANT ARREST,Wednesday,CENTRAL,"ARREST, BOOKED",STOCKTON ST / BUSH ST,-122.4071522,37.79036558
5/13/2015 16:30,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,MISSION,NONE,0 Block of DOLORES ST,-122.4265894,37.76841217
5/13/2015 16:30,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Wednesday,INGLESIDE,NONE,600 Block of NAPLES ST,-122.4330408,37.71853452
5/13/2015 16:30,VEHICLE THEFT,STOLEN TRUCK,Wednesday,NORTHERN,NONE,SUTTER ST / WEBSTER ST,-122.4315532,37.78630399
5/13/2015 16:20,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071
5/13/2015 16:20,MISSING PERSON,MISSING JUVENILE,Wednesday,INGLESIDE,NONE,100 Block of PERSIA AV,-122.4347643,37.72261614
5/13/2015 16:15,OTHER OFFENSES,RECKLESS DRIVING,Wednesday,BAYVIEW,NONE,INDUSTRIAL ST / BARNEVELD AV,-122.4042596,37.73871271
5/13/2015 16:10,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,INGLESIDE,NONE,0 Block of TIFFANY AV,-122.4212288,37.74526077
5/13/2015 16:09,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Wednesday,SOUTHERN,NONE,0 Block of MAIN ST,-122.3957716,37.79243096
5/13/2015 16:02,ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",Wednesday,PARK,NONE,200 Block of UPPER TR,-122.4450692,37.76285497
5/13/2015 16:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,2200 Block of LEAVENWORTH ST,-122.4177715,37.80150566
5/13/2015 16:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,1000 Block of GREAT HY,-122.5102257,37.76724422
5/13/2015 16:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,BAYVIEW,NONE,100 Block of KISKA RD,-122.3759892,37.73015769
5/13/2015 16:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,INGLESIDE,NONE,900 Block of ROCKDALE DR,-122.4545072,37.74111331
5/13/2015 16:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,DELVALE AV / ENCLINE CT,-122.447802,37.74176976
